Sr. No,State,District1,District,Major Sector,Sub-sector1,Sub-Sector,Detailed Sector,Occupation/Activity,Concatenate,Sum of Activity,Outstanding credit Sep 2017,Ratio = Outstanding credit 2017/sum of activity,01-09-2017,01-12-2017,01-03-2018,01-06-2018,01-09-2018,01-12-2018,01-03-2019,01-06-2019,01-09-2019,01-12-2019,01-03-2020,01-06-2020,01-09-2020,01-12-2020,01-03-2021,01-06-2021,01-09-2021,01-12-2021,01-03-2022,01-06-2022,01-09-2022,01-12-2022,01-03-2023,01-06-2023,01-09-2023,01-12-2023,01-03-2024,01-06-2024,01-09-2024,01-12-2024,01-03-2025
1,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NICOBAR Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,ANDAMAN & NICOBAR ISLANDS,2,NORTH AND MIDDLE ANDAMAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NORTH AND MIDDLE ANDAMAN Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
1,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SOUTH ANDAMAN Mfr of Dairy Products,135453776,2441,,0.13,0.21,0.27,0.23,0.31,0.30,0.27,0.39,0.31,0.31,0.30,0.13,0.11,0.08,0.07,0.08,0.12,0.08,0.11,0.22,0.40,0.32,0.27,0.35,0.68,0.66,0.57,0.68,0.56,0.64,0.75
2,ANDHRA PRADESH,4,ALLURI SITHARAMA RAJU,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ALLURI SITHARAMA RAJU Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.58,0.46,0.34,0.28,0.08,0.12,0.10,0.13,0.10,0.06,0.06,0.03
2,ANDHRA PRADESH,5,ANAKAPALLI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ANAKAPALLI Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.11,1.27,1.67,2.05,2.25,2.26,2.18,1.71,1.85,1.86,1.48,0.94
2,ANDHRA PRADESH,6,ANANTAPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ANANTAPUR Mfr of Dairy Products,135453776,80232,0.0006,0.92,0.95,0.24,0.77,0.20,0.30,0.16,0.17,0.15,0.13,0.15,0.12,0.12,0.33,1.05,1.27,1.45,1.02,1.13,1.78,2.08,2.86,2.66,3.58,3.09,-,-,-,-,-,-
2,ANDHRA PRADESH,7,ANNAMAYYA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ANNAMAYYA Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91,1.28,1.52,1.32,0.92,0.72,0.66,0.80,0.87,0.96,0.93,0.73
2,ANDHRA PRADESH,8,BAPATLA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BAPATLA Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.25,0.25,0.25,0.20,0.35,0.68,0.78,0.73,0.94,1.09,1.07,0.92
2,ANDHRA PRADESH,9,CHITTOOR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CHITTOOR Mfr of Dairy Products,135453776,252052,0.0019,0.64,0.62,0.47,0.56,0.50,0.64,0.67,0.78,0.85,0.84,0.80,0.67,0.72,0.72,0.52,0.41,0.34,0.33,0.33,0.25,0.23,0.18,0.28,0.40,0.67,0.78,0.61,0.27,0.27,0.24,0.32
2,ANDHRA PRADESH,10,CUDDAPAH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CUDDAPAH Mfr of Dairy Products,135453776,11157,0.0001,0.10,0.09,0.08,0.08,0.05,0.08,0.08,0.09,0.10,0.07,0.07,0.07,0.09,0.08,0.18,0.28,0.29,0.41,0.45,-,-,-,-,-,-,-,-,-,-,-,-
